,Topic,time,text_language,job_type,external_url,phone_contact,delta_salary
1609,5.0,2021,en,F Construction,yes,yes,-13.5
1610,6.0,2021,en,F Construction,yes,yes,-10.827167630057804
1611,6.0,2021,en,F Construction,yes,yes,-12.7
1612,5.0,2021,en,F Construction,yes,yes,-13.2
1613,6.0,2021,en,H Transportation and storage,yes,yes,10.24
1614,5.0,2021,en,H Transportation and storage,yes,yes,11.73
1615,5.0,2020,en,"A Agriculture, forestry and fishing",yes,yes,-7.169999999999998
1616,6.0,2020,en,"A Agriculture, forestry and fishing",yes,yes,-6.619999999999999
1617,4.0,2020,pl,G Wholesale and retail trade,yes,yes,-9.66
1618,6.0,2020,pl,C Manufacturing,yes,yes,-14.59
1619,2.0,2020,en,"A Agriculture, forestry and fishing",yes,yes,39.28
1620,6.0,2020,en,"A Agriculture, forestry and fishing",yes,yes,-7.009999999999998
1621,6.0,2019,ro,C Manufacturing,yes,yes,-14.189999999999998
1622,6.0,2019,ro,C Manufacturing,no,yes,-12.689999999999998
1623,6.0,2019,ro,C Manufacturing,yes,yes,-12.689999999999998
1624,0.0,2019,ro,"A Agriculture, forestry and fishing",no,yes,-7.130000000000001
1625,4.0,2019,ro,"A Agriculture, forestry and fishing",no,yes,-6.359999999999999
1626,6.0,2019,ro,M Other specialised business services,no,yes,-18.48
1627,5.0,2019,pl,C Manufacturing,no,yes,-13.689999999999998
1628,4.0,2019,ro,"A Agriculture, forestry and fishing",no,yes,-6.359999999999999
1629,5.0,2019,en,"A Agriculture, forestry and fishing",no,yes,-6.359999999999999
1630,6.0,2019,en,"A Agriculture, forestry and fishing",no,yes,-7.25
1631,4.0,2019,en,G Wholesale and retail trade,no,yes,-9.57
1632,6.0,2019,en,"A Agriculture, forestry and fishing",no,yes,-7.25
1633,6.0,2019,ro,"A Agriculture, forestry and fishing",no,yes,-6.359999999999999
1634,6.0,2019,ro,"A Agriculture, forestry and fishing",no,yes,-7.25
1635,6.0,2019,ro,"A Agriculture, forestry and fishing",no,yes,-7.25
1636,6.0,2018,ro,C Manufacturing,no,yes,-13.0
1637,5.0,2018,pl,"A Agriculture, forestry and fishing",yes,yes,-6.23
1638,0.0,2021,pl,F Construction,yes,yes,28.3
1639,4.0,2021,pl,C Manufacturing,yes,yes,-12.3
1640,6.0,2021,pl,C Manufacturing,yes,yes,-12.42
1641,4.0,2021,pl,C Manufacturing,yes,yes,-14.4
1642,0.0,2021,pl,F Construction,yes,yes,-13.809999999999999
1643,0.0,2021,pl,C Manufacturing,yes,yes,-14.3
1644,7.0,2021,pl,C Manufacturing,yes,yes,-14.96
1645,6.0,2021,pl,F Construction,yes,yes,-11.26
1646,0.0,2021,pl,C Manufacturing,yes,yes,-10.05
1647,5.0,2021,pl,G Wholesale and retail trade,yes,yes,-4.620000000000001
1648,4.0,2021,pl,C Manufacturing,yes,yes,-11.940000000000001
1649,3.0,2021,pl,H Transportation and storage,yes,yes,10.79
1650,0.0,2021,pl,H Transportation and storage,yes,yes,13.0
1651,7.0,2021,pl,C Manufacturing,yes,yes,-11.32
1652,0.0,2021,pl,C Manufacturing,yes,yes,-13.930000000000001
1653,0.0,2021,pl,F Construction,yes,yes,-10.7
1654,0.0,2021,pl,F Construction,yes,yes,-12.069999999999999
1655,4.0,2021,pl,H Transportation and storage,yes,yes,44.0
1656,5.0,2021,pl,F Construction,yes,yes,-12.2
1657,5.0,2021,pl,C Manufacturing,yes,yes,-13.24
1658,0.0,2017,pl,"A Agriculture, forestry and fishing",yes,yes,-6.75
1659,5.0,2016,pl,G Wholesale and retail trade,yes,yes,14.57
1660,5.0,2016,pl,"A Agriculture, forestry and fishing",yes,yes,-6.76
1661,5.0,2015,pl,C Manufacturing,yes,yes,-13.000000000000002
1662,5.0,2021,pl,G Wholesale and retail trade,yes,yes,-9.63
1663,0.0,2021,pl,C Manufacturing,yes,yes,-13.66
1664,5.0,2021,pl,G Wholesale and retail trade,yes,yes,-4.870000000000001
1665,0.0,2021,pl,C Manufacturing,yes,yes,-9.9
1666,5.0,2021,pl,H Transportation and storage,yes,yes,10.5
1667,0.0,2021,pl,M Other specialised business services,yes,yes,-19.16
1668,0.0,2021,pl,C Manufacturing,yes,yes,-13.260000000000002
1669,0.0,2021,pl,M Other specialised business services,yes,yes,-19.560000000000002
1670,5.0,2021,pl,C Manufacturing,yes,yes,-14.55
1671,5.0,2021,pl,G Wholesale and retail trade,yes,yes,-9.370000000000001
1672,5.0,2021,pl,G Wholesale and retail trade,yes,yes,-8.870000000000001
1673,5.0,2021,pl,F Construction,yes,yes,-14.229999999999999
1674,0.0,2021,pl,C Manufacturing,yes,yes,-14.07
1675,5.0,2021,pl,C Manufacturing,yes,yes,-14.56
1676,5.0,2021,pl,C Manufacturing,yes,yes,-10.88
1677,7.0,2021,pl,H Transportation and storage,yes,yes,11.19
1678,6.0,2021,pl,H Transportation and storage,yes,yes,10.49
1679,5.0,2021,pl,F Construction,yes,yes,-11.479999999999999
1680,4.0,2021,pl,F Construction,yes,yes,-10.79
1681,3.0,2021,pl,C Manufacturing,yes,yes,-14.350000000000001
1682,5.0,2021,pl,C Manufacturing,yes,yes,-15.06
1683,4.0,2021,pl,C Manufacturing,yes,yes,-12.760000000000002
1684,5.0,2021,pl,G Wholesale and retail trade,yes,yes,-3.870000000000001
1685,4.0,2021,pl,G Wholesale and retail trade,yes,yes,-4.870000000000001
1686,0.0,2021,pl,M Other specialised business services,yes,yes,-17.020000000000003
1687,5.0,2021,pl,F Construction,yes,yes,-14.7
1688,5.0,2021,pl,G Wholesale and retail trade,yes,yes,-5.960000000000001
1689,0.0,2021,pl,C Manufacturing,yes,yes,-12.760000000000002
1690,5.0,2020,pl,C Manufacturing,yes,yes,-10.3
1691,0.0,2020,pl,C Manufacturing,yes,yes,-14.610000000000001
1692,5.0,2020,pl,H Transportation and storage,yes,yes,-12.360000000000001
1693,5.0,2020,pl,C Manufacturing,yes,yes,-14.92
1694,5.0,2020,pl,C Manufacturing,yes,yes,-10.3
1695,5.0,2020,pl,G Wholesale and retail trade,yes,yes,-9.290000000000001
1696,5.0,2020,en,C Manufacturing,yes,yes,-14.675
1697,5.0,2020,pl,H Transportation and storage,yes,yes,-11.540000000000001
1698,0.0,2020,pl,C Manufacturing,yes,yes,-11.3
1699,5.0,2020,pl,C Manufacturing,yes,yes,-13.9
1700,5.0,2020,pl,G Wholesale and retail trade,yes,yes,-8.96
1701,0.0,2020,pl,C Manufacturing,yes,yes,-13.9
1702,5.0,2020,pl,F Construction,yes,yes,-13.299999999999999
1703,0.0,2020,pl,C Manufacturing,yes,yes,-14.350000000000001
1704,4.0,2020,pl,M Other specialised business services,yes,yes,-16.96
1705,0.0,2020,pl,F Construction,yes,yes,-13.299999999999999
1706,2.0,2020,pl,C Manufacturing,yes,yes,-9.3
1707,5.0,2020,pl,G Wholesale and retail trade,yes,yes,-9.82
1708,5.0,2020,pl,F Construction,yes,yes,-13.299999999999999
1709,6.0,2020,pl,C Manufacturing,yes,yes,-15.25
1710,5.0,2020,pl,"A Agriculture, forestry and fishing",yes,yes,-7.669999999999998
1711,5.0,2020,pl,G Wholesale and retail trade,yes,yes,-9.82
1712,5.0,2020,pl,F Construction,yes,yes,-13.299999999999999
1713,5.0,2020,pl,F Construction,yes,yes,-14.649999999999999
1714,0.0,2020,pl,F Construction,yes,yes,-14.649999999999999
1715,5.0,2020,pl,F Construction,yes,yes,-13.299999999999999
1716,5.0,2020,pl,H Transportation and storage,yes,yes,-8.510000000000002
1717,0.0,2020,pl,C Manufacturing,yes,yes,-14.850000000000001
1718,4.0,2020,pl,H Transportation and storage,yes,yes,-8.940000000000001
1719,5.0,2020,pl,C Manufacturing,yes,yes,-13.9
1720,3.0,2020,pl,C Manufacturing,yes,yes,-14.92
1721,0.0,2020,pl,C Manufacturing,yes,yes,-14.770000000000001
1722,0.0,2019,pl,C Manufacturing,yes,yes,-13.979999999999999
1723,0.0,2019,pl,G Wholesale and retail trade,yes,yes,-6.890000000000001
1724,0.0,2019,pl,C Manufacturing,yes,yes,-10.399999999999999
1725,5.0,2019,pl,F Construction,yes,yes,-12.079999999999998
1726,7.0,2019,pl,C Manufacturing,yes,yes,-12.689999999999998
1727,2.0,2019,pl,C Manufacturing,yes,yes,-11.399999999999999
1728,1.0,2019,pl,F Construction,yes,yes,-12.079999999999998
1729,2.0,2019,pl,H Transportation and storage,yes,yes,-5.16
1730,4.0,2019,pl,F Construction,yes,yes,-12.079999999999998
1731,5.0,2019,pl,C Manufacturing,yes,yes,-13.399999999999999
1732,5.0,2019,pl,F Construction,yes,yes,-10.079999999999998
1733,5.0,2019,pl,C Manufacturing,yes,yes,-12.999999999999998
1734,5.0,2019,pl,H Transportation and storage,yes,yes,-10.16
1735,5.0,2019,pl,F Construction,yes,yes,-13.699999999999998
